PassengerId|Pclass|Sex|Age|SibSp|Parch|Fare|Embarked
1|3|male|22|1|0|7|S
2|1|female|38|1|0|71|C
3|3|female|26|0|0|7|S
4|1|female|35|1|0|53|S
5|3|male|35|0|0|8|S
7|1|male|54|0|0|51|S
8|3|male|2|3|1|21|S
9|3|female|27|0|2|11|S
10|2|female|14|1|0|30|C
11|3|female|4|1|1|16|S
12|1|female|58|0|0|26|S
13|3|male|20|0|0|8|S
14|3|male|39|1|5|31|S
15|3|female|14|0|0|7|S
16|2|female|55|0|0|16|S
17|3|male|2|4|1|29|Q
19|3|female|31|1|0|18|S
21|2|male|35|0|0|26|S
22|2|male|34|0|0|13|S
23|3|female|15|0|0|8|Q
24|1|male|28|0|0|35|S
25|3|female|8|3|1|21|S
26|3|female|38|1|5|31|S
28|1|male|19|3|2|263|S
31|1|male|40|0|0|27|C
34|2|male|66|0|0|10|S
35|1|male|28|1|0|82|C
36|1|male|42|1|0|52|S
38|3|male|21|0|0|8|S
39|3|female|18|2|0|18|S
40|3|female|14|1|0|11|C
41|3|female|40|1|0|9|S
42|2|female|27|1|0|21|S
44|2|female|3|1|2|41|C
45|3|female|19|0|0|7|Q
50|3|female|18|1|0|17|S
51|3|male|7|4|1|39|S
52|3|male|21|0|0|7|S
53|1|female|49|1|0|76|C
54|2|female|29|1|0|26|S
55|1|male|65|0|1|61|C
57|2|female|21|0|0|10|S
58|3|male|28|0|0|7|C
59|2|female|5|1|2|27|S
60|3|male|11|5|2|46|S
61|3|male|22|0|0|7|C
63|1|male|45|1|0|83|S
64|3|male|4|3|2|27|S
67|2|female|29|0|0|10|S
68|3|male|19|0|0|8|S
69|3|female|17|4|2|7|S
70|3|male|26|2|0|8|S
71|2|male|32|0|0|10|S
72|3|female|16|5|2|46|S
73|2|male|21|0|0|73|S
74|3|male|26|1|0|14|C
75|3|male|32|0|0|56|S
76|3|male|25|0|0|7|S
79|2|male|0|0|2|29|S
80|3|female|30|0|0|12|S
81|3|male|22|0|0|9|S
82|3|male|29|0|0|9|S
84|1|male|28|0|0|47|S
85|2|female|17|0|0|10|S
86|3|female|33|3|0|15|S
87|3|male|16|1|3|34|S
89|1|female|23|3|2|263|S
90|3|male|24|0|0|8|S
91|3|male|29|0|0|8|S
92|3|male|20|0|0|7|S
93|1|male|46|1|0|61|S
94|3|male|26|1|2|20|S
95|3|male|59|0|0|7|S
97|1|male|71|0|0|34|C
98|1|male|23|0|1|63|C
99|2|female|34|0|1|23|S
100|2|male|34|1|0|26|S
101|3|female|28|0|0|7|S
103|1|male|21|0|1|77|S
104|3|male|33|0|0|8|S
105|3|male|37|2|0|7|S
106|3|male|28|0|0|7|S
107|3|female|21|0|0|7|S
109|3|male|38|0|0|7|S
111|1|male|47|0|0|52|S
112|3|female|14|1|0|14|C
113|3|male|22|0|0|8|S
114|3|female|20|1|0|9|S
115|3|female|17|0|0|14|C
116|3|male|21|0|0|7|S
117|3|male|70|0|0|7|Q
118|2|male|29|1|0|21|S
119|1|male|24|0|1|247|C
120|3|female|2|4|2|31|S
121|2|male|21|2|0|73|S
123|2|male|32|1|0|30|C
124|2|female|32|0|0|13|S
125|1|male|54|0|1|77|S
126|3|male|12|1|0|11|C
128|3|male|24|0|0|7|S
130|3|male|45|0|0|6|S
131|3|male|33|0|0|7|C
132|3|male|20|0|0|7|S
133|3|female|47|1|0|14|S
134|2|female|29|1|0|26|S
135|2|male|25|0|0|13|S
136|2|male|23|0|0|15|C
137|1|female|19|0|2|26|S
138|1|male|37|1|0|53|S
139|3|male|16|0|0|9|S
140|1|male|24|0|0|79|C
142|3|female|22|0|0|7|S
143|3|female|24|1|0|15|S
144|3|male|19|0|0|6|Q
145|2|male|18|0|0|11|S
146|2|male|19|1|1|36|S
147|3|male|27|0|0|7|S
148|3|female|9|2|2|34|S
149|2|male|36|0|2|26|S
150|2|male|42|0|0|13|S
151|2|male|51|0|0|12|S
152|1|female|22|1|0|66|S
153|3|male|55|0|0|8|S
154|3|male|40|0|2|14|S
156|1|male|51|0|1|61|C
157|3|female|16|0|0|7|Q
158|3|male|30|0|0|8|S
161|3|male|44|0|1|16|S
162|2|female|40|0|0|15|S
163|3|male|26|0|0|7|S
164|3|male|17|0|0|8|S
165|3|male|1|4|1|39|S
166|3|male|9|0|2|20|S
168|3|female|45|1|4|27|S
170|3|male|28|0|0|56|S
171|1|male|61|0|0|33|S
172|3|male|4|4|1|29|Q
173|3|female|1|1|1|11|S
174|3|male|21|0|0|7|S
175|1|male|56|0|0|30|C
176|3|male|18|1|1|7|S
178|1|female|50|0|0|28|C
179|2|male|30|0|0|13|S
180|3|male|36|0|0|0|S
183|3|male|9|4|2|31|S
184|2|male|1|2|1|39|S
185|3|female|4|0|2|22|S
188|1|male|45|0|0|26|S
189|3|male|40|1|1|15|Q
190|3|male|36|0|0|7|S
191|2|female|32|0|0|13|S
192|2|male|19|0|0|13|S
193|3|female|19|1|0|7|S
194|2|male|3|1|1|26|S
195|1|female|44|0|0|27|C
196|1|female|58|0|0|146|C
198|3|male|42|0|1|8|S
200|2|female|24|0|0|13|S
201|3|male|28|0|0|9|S
203|3|male|34|0|0|6|S
204|3|male|45|0|0|7|C
205|3|male|18|0|0|8|S
206|3|female|2|0|1|10|S
207|3|male|32|1|0|15|S
208|3|male|26|0|0|18|C
209|3|female|16|0|0|7|Q
210|1|male|40|0|0|31|C
211|3|male|24|0|0|7|S
212|2|female|35|0|0|21|S
213|3|male|22|0|0|7|S
214|2|male|30|0|0|13|S
216|1|female|31|1|0|113|C
217|3|female|27|0|0|7|S
218|2|male|42|1|0|27|S
219|1|female|32|0|0|76|C
220|2|male|30|0|0|10|S
221|3|male|16|0|0|8|S
222|2|male|27|0|0|13|S
223|3|male|51|0|0|8|S
225|1|male|38|1|0|90|S
226|3|male|22|0|0|9|S
227|2|male|19|0|0|10|S
228|3|male|20|0|0|7|S
229|2|male|18|0|0|13|S
231|1|female|35|1|0|83|S
232|3|male|29|0|0|7|S
233|2|male|59|0|0|13|S
234|3|female|5|4|2|31|S
235|2|male|24|0|0|10|S
237|2|male|44|1|0|26|S
238|2|female|8|0|2|26|S
239|2|male|19|0|0|10|S
240|2|male|33|0|0|12|S
243|2|male|29|0|0|10|S
244|3|male|22|0|0|7|S
245|3|male|30|0|0|7|C
246|1|male|44|2|0|90|Q
247|3|female|25|0|0|7|S
248|2|female|24|0|2|14|S
249|1|male|37|1|1|52|S
250|2|male|54|1|0|26|S
252|3|female|29|1|1|10|S
253|1|male|62|0|0|26|S
254|3|male|30|1|0|16|S
255|3|female|41|0|2|20|S
256|3|female|29|0|2|15|C
258|1|female|30|0|0|86|S
259|1|female|35|0|0|512|C
260|2|female|50|0|1|26|S
262|3|male|3|4|2|31|S
263|1|male|52|1|1|79|S
264|1|male|40|0|0|0|S
266|2|male|36|0|0|10|S
267|3|male|16|4|1|39|S
268|3|male|25|1|0|7|S
269|1|female|58|0|1|153|S
270|1|female|35|0|0|135|S
272|3|male|25|0|0|0|S
273|2|female|41|0|1|19|S
274|1|male|37|0|1|29|C
276|1|female|63|1|0|77|S
277|3|female|45|0|0|7|S
279|3|male|7|4|1|29|Q
280|3|female|35|1|1|20|S
281|3|male|65|0|0|7|Q
282|3|male|28|0|0|7|S
283|3|male|16|0|0|9|S
284|3|male|19|0|0|8|S
286|3|male|33|0|0|8|C
287|3|male|30|0|0|9|S
288|3|male|22|0|0|7|S
289|2|male|42|0|0|13|S
290|3|female|22|0|0|7|Q
291|1|female|26|0|0|78|S
292|1|female|19|1|0|91|C
293|2|male|36|0|0|12|C
294|3|female|24|0|0|8|S
295|3|male|24|0|0|7|S
297|3|male|23|0|0|7|C
298|1|female|2|1|2|151|S
300|1|female|50|0|1|247|C
303|3|male|19|0|0|0|S
306|1|male|0|1|2|151|S
308|1|female|17|1|0|108|C
309|2|male|30|1|0|24|C
310|1|female|30|0|0|56|C
311|1|female|24|0|0|83|C
312|1|female|18|2|2|262|C
313|2|female|26|1|1|26|S
314|3|male|28|0|0|7|S
315|2|male|43|1|1|26|S
316|3|female|26|0|0|7|S
317|2|female|24|1|0|26|S
318|2|male|54|0|0|14|S
319|1|female|31|0|2|164|S
320|1|female|40|1|1|134|C
321|3|male|22|0|0|7|S
322|3|male|27|0|0|7|S
323|2|female|30|0|0|12|Q
324|2|female|22|1|1|29|S
326|1|female|36|0|0|135|C
327|3|male|61|0|0|6|S
328|2|female|36|0|0|13|S
329|3|female|31|1|1|20|S
330|1|female|16|0|1|57|C
332|1|male|45|0|0|28|S
333|1|male|38|0|1|153|S
334|3|male|16|2|0|18|S
337|1|male|29|1|0|66|S
338|1|female|41|0|0|134|C
339|3|male|45|0|0|8|S
340|1|male|45|0|0|35|S
341|2|male|2|1|1|26|S
342|1|female|24|3|2|263|S
343|2|male|28|0|0|13|S
344|2|male|25|0|0|13|S
345|2|male|36|0|0|13|S
346|2|female|24|0|0|13|S
347|2|female|40|0|0|13|S
349|3|male|3|1|1|15|S
350|3|male|42|0|0|8|S
351|3|male|23|0|0|9|S
353|3|male|15|1|1|7|C
354|3|male|25|1|0|17|S
356|3|male|28|0|0|9|S
357|1|female|22|0|1|55|S
358|2|female|38|0|0|13|S
361|3|male|40|1|4|27|S
362|2|male|29|1|0|27|C
363|3|female|45|0|1|14|C
364|3|male|35|0|0|7|S
366|3|male|30|0|0|7|S
367|1|female|60|1|0|75|C
370|1|female|24|0|0|69|C
371|1|male|25|1|0|55|C
372|3|male|18|1|0|6|S
373|3|male|19|0|0|8|S
374|1|male|22|0|0|135|C
375|3|female|3|3|1|21|S
377|3|female|22|0|0|7|S
378|1|male|27|0|2|211|C
379|3|male|20|0|0|4|C
380|3|male|19|0|0|7|S
381|1|female|42|0|0|227|C
382|3|female|1|0|2|15|C
383|3|male|32|0|0|7|S
384|1|female|35|1|0|52|S
386|2|male|18|0|0|73|S
387|3|male|1|5|2|46|S
388|2|female|36|0|0|13|S
390|2|female|17|0|0|12|C
391|1|male|36|1|2|120|S
392|3|male|21|0|0|7|S
393|3|male|28|2|0|7|S
394|1|female|23|1|0|113|C
395|3|female|24|0|2|16|S
396|3|male|22|0|0|7|S
397|3|female|31|0|0|7|S
398|2|male|46|0|0|26|S
399|2|male|23|0|0|10|S
400|2|female|28|0|0|12|S
401|3|male|39|0|0|7|S
402|3|male|26|0|0|8|S
403|3|female|21|1|0|9|S
404|3|male|28|1|0|15|S
405|3|female|20|0|0|8|S
406|2|male|34|1|0|21|S
407|3|male|51|0|0|7|S
408|2|male|3|1|1|18|S
409|3|male|21|0|0|7|S
413|1|female|33|1|0|90|Q
415|3|male|44|0|0|7|S
417|2|female|34|1|1|32|S
418|2|female|18|0|2|13|S
419|2|male|30|0|0|13|S
420|3|female|10|0|2|24|S
422|3|male|21|0|0|7|Q
423|3|male|29|0|0|7|S
424|3|female|28|1|1|14|S
425|3|male|18|1|1|20|S
427|2|female|28|1|0|26|S
428|2|female|19|0|0|26|S
430|3|male|32|0|0|8|S
431|1|male|28|0|0|26|S
433|2|female|42|1|0|26|S
434|3|male|17|0|0|7|S
435|1|male|50|1|0|55|S
436|1|female|14|1|2|120|S
437|3|female|21|2|2|34|S
438|2|female|24|2|3|18|S
439|1|male|64|1|4|263|S
440|2|male|31|0|0|10|S
441|2|female|45|1|1|26|S
442|3|male|20|0|0|9|S
443|3|male|25|1|0|7|S
444|2|female|28|0|0|13|S
446|1|male|4|0|2|81|S
447|2|female|13|0|1|19|S
448|1|male|34|0|0|26|S
449|3|female|5|2|1|19|C
450|1|male|52|0|0|30|S
451|2|male|36|1|2|27|S
453|1|male|30|0|0|27|C
454|1|male|49|1|0|89|C
456|3|male|29|0|0|7|C
457|1|male|65|0|0|26|S
459|2|female|50|0|0|10|S
461|1|male|48|0|0|26|S
462|3|male|34|0|0|8|S
463|1|male|47|0|0|38|S
464|2|male|48|0|0|13|S
466|3|male|38|0|0|7|S
468|1|male|56|0|0|26|S
470|3|female|0|2|1|19|C
472|3|male|38|0|0|8|S
473|2|female|33|1|2|27|S
474|2|female|23|0|0|13|C
475|3|female|22|0|0|9|S
477|2|male|34|1|0|21|S
478|3|male|29|1|0|7|S
479|3|male|22|0|0|7|S
480|3|female|2|0|1|12|S
481|3|male|9|5|2|46|S
483|3|male|50|0|0|8|S
484|3|female|63|0|0|9|S
485|1|male|25|1|0|91|C
487|1|female|35|1|0|90|S
488|1|male|58|0|0|29|C
489|3|male|30|0|0|8|S
490|3|male|9|1|1|15|S
492|3|male|21|0|0|7|S
493|1|male|55|0|0|30|S
494|1|male|71|0|0|49|C
495|3|male|21|0|0|8|S
497|1|female|54|1|0|78|C
499|1|female|25|1|2|151|S
500|3|male|24|0|0|7|S
501|3|male|17|0|0|8|S
502|3|female|21|0|0|7|Q
504|3|female|37|0|0|9|S
