PassengerId|Survived
1|0
2|1
3|1
4|1
5|0
7|0
8|0
9|1
10|1
11|1
12|1
13|0
14|0
15|0
16|1
17|0
19|0
21|0
22|1
23|1
24|1
25|0
26|1
28|0
31|0
34|0
35|0
36|0
38|0
39|0
40|1
41|0
42|0
44|1
45|1
50|0
51|0
52|0
53|1
54|1
55|0
57|1
58|0
59|1
60|0
61|0
63|0
64|0
67|1
68|0
69|1
70|0
71|0
72|0
73|0
74|0
75|1
76|0
79|1
80|1
81|0
82|1
84|0
85|1
86|1
87|0
89|1
90|0
91|0
92|0
93|0
94|0
95|0
97|0
98|1
99|1
100|0
101|0
103|0
104|0
105|0
106|0
107|1
109|0
111|0
112|0
113|0
114|0
115|0
116|0
117|0
118|0
119|0
120|0
121|0
123|0
124|1
125|0
126|1
128|1
130|0
131|0
132|0
133|0
134|1
135|0
136|0
137|1
138|0
139|0
140|0
142|1
143|1
144|0
145|0
146|0
147|1
148|0
149|0
150|0
151|0
152|1
153|0
154|0
156|0
157|1
158|0
161|0
162|1
163|0
164|0
165|0
166|1
168|0
170|0
171|0
172|0
173|1
174|0
175|0
176|0
178|0
179|0
180|0
183|0
184|1
185|1
188|1
189|0
190|0
191|1
192|0
193|1
194|1
195|1
196|1
198|0
200|0
201|0
203|0
204|0
205|1
206|0
207|0
208|1
209|1
210|1
211|0
212|1
213|0
214|0
216|1
217|1
218|0
219|1
220|0
221|1
222|0
223|0
225|1
226|0
227|1
228|0
229|0
231|1
232|0
233|0
234|1
235|0
237|0
238|1
239|0
240|0
243|0
244|0
245|0
246|0
247|0
248|1
249|1
250|0
252|0
253|0
254|0
255|0
256|1
258|1
259|1
260|1
262|1
263|0
264|0
266|0
267|0
268|1
269|1
270|1
272|1
273|1
274|0
276|1
277|0
279|0
280|1
281|0
282|0
283|0
284|1
286|0
287|1
288|0
289|1
290|1
291|1
292|1
293|0
294|0
295|0
297|0
298|0
300|1
303|0
306|1
308|1
309|0
310|1
311|1
312|1
313|0
314|0
315|0
316|1
317|1
318|0
319|1
320|1
321|0
322|0
323|1
324|1
326|1
327|0
328|1
329|1
330|1
332|0
333|0
334|0
337|0
338|1
339|1
340|0
341|1
342|1
343|0
344|0
345|0
346|1
347|1
349|1
350|0
351|0
353|0
354|0
356|0
357|1
358|0
361|0
362|0
363|0
364|0
366|0
367|1
370|1
371|1
372|0
373|0
374|0
375|0
377|1
378|0
379|0
380|0
381|1
382|1
383|0
384|1
386|0
387|0
388|1
390|1
391|1
392|1
393|0
394|1
395|1
396|0
397|0
398|0
399|0
400|1
401|1
402|0
403|0
404|0
405|0
406|0
407|0
408|1
409|0
413|1
415|1
417|1
418|1
419|0
420|0
422|0
423|0
424|0
425|0
427|1
428|1
430|1
431|1
433|1
434|0
435|0
436|1
437|0
438|1
439|0
440|0
441|1
442|0
443|0
444|1
446|1
447|1
448|1
449|1
450|1
451|0
453|0
454|1
456|1
457|0
459|1
461|1
462|0
463|0
464|0
466|0
468|0
470|1
472|0
473|1
474|1
475|0
477|0
478|0
479|0
480|1
481|0
483|0
484|1
485|1
487|1
488|0
489|0
490|1
492|0
493|0
494|0
495|0
497|1
499|0
500|0
501|0
502|0
504|0
505|1
506|0
507|1
509|0
510|1
511|1
513|1
514|1
515|0
516|0
517|1
519|1
520|0
521|1
522|0
524|1
526|0
527|1
